Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen02_dynassign/dynassign_seed1
Starting SACRED ATLA training from scratch for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Alternating every 50 episodes.
Initial Phase: Training PROTAGONIST (Adversary FROZEN)

Ep   89 | Phase: ANTAGON | Ticks: 788 | Protag R: -10540.00 | Antag R: 10169.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   90 | Phase: ANTAGON | Ticks: 789 | Protag R: -10257.00 | Antag R: 9886.00 | Delivery:  56.9% | Budget Used: 3720.00/4000.0
Ep   91 | Phase: ANTAGON | Ticks: 793 | Protag R: -10191.00 | Antag R: 9820.00 | Delivery:  47.1% | Budget Used: 3720.00/4000.0
Ep   92 | Phase: ANTAGON | Ticks: 777 | Protag R: -6402.00 | Antag R: 6031.00 | Delivery:  70.7% | Budget Used: 3720.00/4000.0
Ep   93 | Phase: ANTAGON | Ticks: 795 | Protag R: -7417.00 | Antag R: 7046.00 | Delivery:  56.0% | Budget Used: 3720.00/4000.0
Ep   94 | Phase: ANTAGON | Ticks: 798 | Protag R: -9603.00 | Antag R: 9232.00 | Delivery:  57.7% | Budget Used: 3720.00/4000.0
Ep   95 | Phase: ANTAGON | Ticks: 786 | Protag R: -6652.00 | Antag R: 6281.00 | Delivery:  65.2% | Budget Used: 3720.00/4000.0
Ep   96 | Phase: ANTAGON | Ticks: 797 | Protag R: -8378.00 | Antag R: 8007.00 | Delivery:  59.1% | Budget Used: 3720.00/4000.0
Ep   97 | Phase: ANTAGON | Ticks: 793 | Protag R: -10330.00 | Antag R: 9959.00 | Delivery:  57.1% | Budget Used: 3720.00/4000.0
Ep   98 | Phase: ANTAGON | Ticks: 778 | Protag R: -11057.00 | Antag R: 10686.00 | Delivery:  56.2% | Budget Used: 3720.00/4000.0
Ep   99 | Phase: ANTAGON | Ticks: 798 | Protag R: -15333.00 | Antag R: 14962.00 | Delivery:  35.7% | Budget Used: 3720.00/4000.0
Ep  100 | Phase: ANTAGON | Ticks: 789 | Protag R: -12828.00 | Antag R: 12457.00 | Delivery:  53.6% | Budget Used: 3720.00/4000.0
  [EVAL ep 100] greedy_atk=8921 learned_atk=9089 gap=+168 +/-474 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...

--- Episode 101: Switching training phase to PROTAGONIST ---
Ep  101 | Phase: PROTAGO | Ticks: 798 | Protag R: -6996.00 | Antag R: 6625.00 | Delivery:  64.4% | Budget Used: 3720.00/4000.0
Ep  102 | Phase: PROTAGO | Ticks: 797 | Protag R: -10488.00 | Antag R: 10116.00 | Delivery:  46.9% | Budget Used: 3720.00/4000.0
Ep  103 | Phase: PROTAGO | Ticks: 799 | Protag R: -4741.00 | Antag R: 4370.00 | Delivery:  75.0% | Budget Used: 3720.00/4000.0
Ep  104 | Phase: PROTAGO | Ticks: 799 | Protag R: -7258.00 | Antag R: 6899.00 | Delivery:  55.3% | Budget Used: 3600.00/4000.0
Ep  105 | Phase: PROTAGO | Ticks: 775 | Protag R: -11428.00 | Antag R: 11057.00 | Delivery:  51.8% | Budget Used: 3720.00/4000.0
Ep  106 | Phase: PROTAGO | Ticks: 781 | Protag R: -17429.00 | Antag R: 17059.00 | Delivery:  43.9% | Budget Used: 3720.00/4000.0
Ep  107 | Phase: PROTAGO | Ticks: 793 | Protag R: -9772.00 | Antag R: 9401.00 | Delivery:  43.3% | Budget Used: 3720.00/4000.0
Ep  108 | Phase: PROTAGO | Ticks: 787 | Protag R: -3803.00 | Antag R: 3433.00 | Delivery:  73.0% | Budget Used: 3720.00/4000.0
Ep  109 | Phase: PROTAGO | Ticks: 791 | Protag R: -9046.00 | Antag R: 8675.00 | Delivery:  54.9% | Budget Used: 3720.00/4000.0
Ep  110 | Phase: PROTAGO | Ticks: 791 | Protag R: -5727.00 | Antag R: 5356.00 | Delivery:  56.2% | Budget Used: 3720.00/4000.0
Ep  111 | Phase: PROTAGO | Ticks: 793 | Protag R: -8565.00 | Antag R: 8194.00 | Delivery:  59.6% | Budget Used: 3720.00/4000.0
Ep  112 | Phase: PROTAGO | Ticks: 798 | Protag R: -7036.00 | Antag R: 6665.00 | Delivery:  60.0% | Budget Used: 3720.00/4000.0
Ep  113 | Phase: PROTAGO | Ticks: 788 | Protag R: -8952.00 | Antag R: 8580.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
Ep  114 | Phase: PROTAGO | Ticks: 784 | Protag R: -11712.00 | Antag R: 11341.00 | Delivery:  53.8% | Budget Used: 3720.00/4000.0
Ep  115 | Phase: PROTAGO | Ticks: 796 | Protag R: -6673.00 | Antag R: 6302.00 | Delivery:  62.5% | Budget Used: 3720.00/4000.0
Ep  116 | Phase: PROTAGO | Ticks: 791 | Protag R: -11888.00 | Antag R: 11517.00 | Delivery:  37.3% | Budget Used: 3720.00/4000.0
Ep  117 | Phase: PROTAGO | Ticks: 793 | Protag R: -12080.00 | Antag R: 11708.00 | Delivery:  46.0% | Budget Used: 3720.00/4000.0
Ep  118 | Phase: PROTAGO | Ticks: 793 | Protag R: -5310.00 | Antag R: 4939.00 | Delivery:  61.9% | Budget Used: 3720.00/4000.0
Ep  119 | Phase: PROTAGO | Ticks: 796 | Protag R: -8598.00 | Antag R: 8227.00 | Delivery:  60.4% | Budget Used: 3720.00/4000.0
Ep  120 | Phase: PROTAGO | Ticks: 799 | Protag R: -8108.00 | Antag R: 7737.00 | Delivery:  70.5% | Budget Used: 3720.00/4000.0
