BR gate (corrected): arena=contested reward_baseline=twin antag_target_entropy=0.5 gamma=0.997; training antagonist vs frozen GREEDY for 300 ep.
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   89 | Phase: ANTAGON | Ticks: 797 | Protag R: -3847.00 | Antag R: 3559.00 | Delivery:  34.5% | Budget Used: 2880.00/4000.0
Ep   90 | Phase: ANTAGON | Ticks: 797 | Protag R: -4538.00 | Antag R: 4238.00 | Delivery:  33.3% | Budget Used: 3000.00/4000.0
Ep   91 | Phase: ANTAGON | Ticks: 796 | Protag R: -5060.00 | Antag R: 4724.00 | Delivery:  40.9% | Budget Used: 3360.00/4000.0
Ep   92 | Phase: ANTAGON | Ticks: 775 | Protag R: -5370.00 | Antag R: 5058.00 | Delivery:  30.6% | Budget Used: 3120.00/4000.0
Ep   93 | Phase: ANTAGON | Ticks: 775 | Protag R: -3241.00 | Antag R: 2953.00 | Delivery:  52.9% | Budget Used: 2880.00/4000.0
Ep   94 | Phase: ANTAGON | Ticks: 796 | Protag R: -5461.00 | Antag R: 5101.00 | Delivery:  30.9% | Budget Used: 3600.00/4000.0
Ep   95 | Phase: ANTAGON | Ticks: 799 | Protag R: -4763.00 | Antag R: 4403.00 | Delivery:  43.5% | Budget Used: 3600.00/4000.0
Ep   96 | Phase: ANTAGON | Ticks: 797 | Protag R: -2266.00 | Antag R: 1954.00 | Delivery:  50.0% | Budget Used: 3120.00/4000.0
Ep   97 | Phase: ANTAGON | Ticks: 794 | Protag R: -4268.00 | Antag R: 3932.00 | Delivery:  40.9% | Budget Used: 3360.00/4000.0
Ep   98 | Phase: ANTAGON | Ticks: 775 | Protag R: -4699.00 | Antag R: 4363.00 | Delivery:  32.1% | Budget Used: 3360.00/4000.0
Ep   99 | Phase: ANTAGON | Ticks: 781 | Protag R: -5816.00 | Antag R: 5528.00 | Delivery:  33.3% | Budget Used: 2880.00/4000.0
Ep  100 | Phase: ANTAGON | Ticks: 794 | Protag R: -3892.00 | Antag R: 3580.00 | Delivery:  36.4% | Budget Used: 3120.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: ANTAGON | Ticks: 796 | Protag R: -5130.00 | Antag R: 4842.00 | Delivery:  50.0% | Budget Used: 2880.00/4000.0
Ep  102 | Phase: ANTAGON | Ticks: 775 | Protag R: -3867.00 | Antag R: 3543.00 | Delivery:  33.3% | Budget Used: 3240.00/4000.0
Ep  103 | Phase: ANTAGON | Ticks: 798 | Protag R: -2827.00 | Antag R: 2563.00 | Delivery:  47.6% | Budget Used: 2640.00/4000.0
Ep  104 | Phase: ANTAGON | Ticks: 775 | Protag R: -4857.00 | Antag R: 4521.00 | Delivery:  39.6% | Budget Used: 3360.00/4000.0
