BR gate: training antagonist vs frozen GREEDY on hybrid route-reach for 300 ep.
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep  107 | Phase: ANTAGON | Ticks: 680 | Protag R: -1854.00 | Antag R: 1704.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  108 | Phase: ANTAGON | Ticks: 475 | Protag R: -1358.00 | Antag R: 1233.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep  109 | Phase: ANTAGON | Ticks: 578 | Protag R: -1884.00 | Antag R: 1734.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  110 | Phase: ANTAGON | Ticks: 650 | Protag R: -1835.00 | Antag R: 1685.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  111 | Phase: ANTAGON | Ticks: 246 | Protag R: -895.00 | Antag R:  807.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep  112 | Phase: ANTAGON | Ticks: 475 | Protag R: -1383.00 | Antag R: 1258.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep  113 | Phase: ANTAGON | Ticks: 581 | Protag R: -2048.00 | Antag R: 1935.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep  114 | Phase: ANTAGON | Ticks: 677 | Protag R: -1903.00 | Antag R: 1753.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  115 | Phase: ANTAGON | Ticks: 351 | Protag R: -1368.00 | Antag R: 1218.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  116 | Phase: ANTAGON | Ticks: 625 | Protag R: -1610.00 | Antag R: 1460.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  117 | Phase: ANTAGON | Ticks: 238 | Protag R: -879.00 | Antag R:  791.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep  118 | Phase: ANTAGON | Ticks: 378 | Protag R: -1408.00 | Antag R: 1258.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  119 | Phase: ANTAGON | Ticks: 250 | Protag R: -898.00 | Antag R:  810.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep  120 | Phase: ANTAGON | Ticks: 575 | Protag R: -1690.00 | Antag R: 1577.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep  121 | Phase: ANTAGON | Ticks: 375 | Protag R: -1630.00 | Antag R: 1530.00 | Delivery: 100.0% | Budget Used: 1000.00/1500.0
Ep  122 | Phase: ANTAGON | Ticks: 243 | Protag R: -889.00 | Antag R:  801.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep  123 | Phase: ANTAGON | Ticks: 401 | Protag R: -1401.00 | Antag R: 1251.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  124 | Phase: ANTAGON | Ticks: 453 | Protag R: -1486.00 | Antag R: 1336.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  125 | Phase: ANTAGON | Ticks: 250 | Protag R: -897.00 | Antag R:  809.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep  126 | Phase: ANTAGON | Ticks: 406 | Protag R: -1630.00 | Antag R: 1505.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep  127 | Phase: ANTAGON | Ticks: 604 | Protag R: -1883.00 | Antag R: 1733.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  128 | Phase: ANTAGON | Ticks: 715 | Protag R: -2248.00 | Antag R: 2098.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  129 | Phase: ANTAGON | Ticks: 363 | Protag R: -1523.00 | Antag R: 1423.00 | Delivery: 100.0% | Budget Used: 1000.00/1500.0
Ep  130 | Phase: ANTAGON | Ticks: 429 | Protag R: -1591.00 | Antag R: 1441.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  131 | Phase: ANTAGON | Ticks: 585 | Protag R: -1812.00 | Antag R: 1662.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  132 | Phase: ANTAGON | Ticks: 553 | Protag R: -1968.00 | Antag R: 1830.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep  133 | Phase: ANTAGON | Ticks: 305 | Protag R: -1216.00 | Antag R: 1078.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep  134 | Phase: ANTAGON | Ticks: 243 | Protag R: -887.00 | Antag R:  799.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep  135 | Phase: ANTAGON | Ticks: 433 | Protag R: -1721.00 | Antag R: 1571.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  136 | Phase: ANTAGON | Ticks: 655 | Protag R: -1812.00 | Antag R: 1662.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep  137 | Phase: ANTAGON | Ticks: 242 | Protag R: -884.00 | Antag R:  796.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
