Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen03_robustness_dynassign/vanilla_seed0/snapshots/protagonist_ep450.pt (node_in_dim=13, edge_in_dim=2).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen04_antag_gate/br_fixed_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   87 | Phase: ANTAGON | Ticks: 791 | Protag R: -10769.00 | Antag R: 10397.00 | Delivery:  54.2% | Budget Used: 3720.00/4000.0
Ep   88 | Phase: ANTAGON | Ticks: 797 | Protag R: -4669.00 | Antag R: 4298.00 | Delivery:  71.1% | Budget Used: 3720.00/4000.0
Ep   89 | Phase: ANTAGON | Ticks: 776 | Protag R: -13271.00 | Antag R: 12900.00 | Delivery:  41.4% | Budget Used: 3720.00/4000.0
Ep   90 | Phase: ANTAGON | Ticks: 777 | Protag R: -10135.00 | Antag R: 9764.00 | Delivery:  52.9% | Budget Used: 3720.00/4000.0
Ep   91 | Phase: ANTAGON | Ticks: 780 | Protag R: -7809.00 | Antag R: 7438.00 | Delivery:  56.8% | Budget Used: 3720.00/4000.0
Ep   92 | Phase: ANTAGON | Ticks: 795 | Protag R: -10663.00 | Antag R: 10292.00 | Delivery:  53.1% | Budget Used: 3720.00/4000.0
Ep   93 | Phase: ANTAGON | Ticks: 798 | Protag R: -3856.00 | Antag R: 3485.00 | Delivery:  70.6% | Budget Used: 3720.00/4000.0
Ep   94 | Phase: ANTAGON | Ticks: 790 | Protag R: -10069.00 | Antag R: 9698.00 | Delivery:  54.5% | Budget Used: 3720.00/4000.0
Ep   95 | Phase: ANTAGON | Ticks: 788 | Protag R: -9329.00 | Antag R: 8958.00 | Delivery:  56.5% | Budget Used: 3720.00/4000.0
Ep   96 | Phase: ANTAGON | Ticks: 793 | Protag R: -3268.00 | Antag R: 2897.00 | Delivery:  68.4% | Budget Used: 3720.00/4000.0
Ep   97 | Phase: ANTAGON | Ticks: 798 | Protag R: -8558.00 | Antag R: 8187.00 | Delivery:  56.8% | Budget Used: 3720.00/4000.0
Ep   98 | Phase: ANTAGON | Ticks: 799 | Protag R: -7957.00 | Antag R: 7586.00 | Delivery:  53.6% | Budget Used: 3720.00/4000.0
Ep   99 | Phase: ANTAGON | Ticks: 790 | Protag R: -8259.00 | Antag R: 7888.00 | Delivery:  58.3% | Budget Used: 3720.00/4000.0
Ep  100 | Phase: ANTAGON | Ticks: 794 | Protag R: -6311.00 | Antag R: 5939.00 | Delivery:  54.5% | Budget Used: 3720.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: ANTAGON | Ticks: 793 | Protag R: -5544.00 | Antag R: 5173.00 | Delivery:  71.4% | Budget Used: 3720.00/4000.0
Ep  102 | Phase: ANTAGON | Ticks: 785 | Protag R: -9388.00 | Antag R: 9017.00 | Delivery:  43.9% | Budget Used: 3720.00/4000.0
Ep  103 | Phase: ANTAGON | Ticks: 784 | Protag R: -6718.00 | Antag R: 6346.00 | Delivery:  54.8% | Budget Used: 3720.00/4000.0
Ep  104 | Phase: ANTAGON | Ticks: 783 | Protag R: -9248.00 | Antag R: 8877.00 | Delivery:  66.7% | Budget Used: 3720.00/4000.0
Ep  105 | Phase: ANTAGON | Ticks: 794 | Protag R: -10371.00 | Antag R: 10000.00 | Delivery:  53.8% | Budget Used: 3720.00/4000.0
Ep  106 | Phase: ANTAGON | Ticks: 797 | Protag R: -9144.00 | Antag R: 8773.00 | Delivery:  54.2% | Budget Used: 3720.00/4000.0
Ep  107 | Phase: ANTAGON | Ticks: 790 | Protag R: -11204.00 | Antag R: 10833.00 | Delivery:  53.8% | Budget Used: 3720.00/4000.0
Ep  108 | Phase: ANTAGON | Ticks: 794 | Protag R: -9939.00 | Antag R: 9568.00 | Delivery:  54.3% | Budget Used: 3720.00/4000.0
Ep  109 | Phase: ANTAGON | Ticks: 795 | Protag R: -5977.00 | Antag R: 5606.00 | Delivery:  65.0% | Budget Used: 3720.00/4000.0
Ep  110 | Phase: ANTAGON | Ticks: 795 | Protag R: -9112.00 | Antag R: 8740.00 | Delivery:  53.2% | Budget Used: 3720.00/4000.0
Ep  111 | Phase: ANTAGON | Ticks: 777 | Protag R: -10016.00 | Antag R: 9645.00 | Delivery:  53.2% | Budget Used: 3720.00/4000.0
Ep  112 | Phase: ANTAGON | Ticks: 798 | Protag R: -8357.00 | Antag R: 7985.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
Ep  113 | Phase: ANTAGON | Ticks: 780 | Protag R: -6212.00 | Antag R: 5841.00 | Delivery:  62.5% | Budget Used: 3720.00/4000.0
Ep  114 | Phase: ANTAGON | Ticks: 799 | Protag R: -9592.00 | Antag R: 9221.00 | Delivery:  46.7% | Budget Used: 3720.00/4000.0
Ep  115 | Phase: ANTAGON | Ticks: 797 | Protag R: -10348.00 | Antag R: 9976.00 | Delivery:  51.9% | Budget Used: 3720.00/4000.0
Ep  116 | Phase: ANTAGON | Ticks: 792 | Protag R: -7248.00 | Antag R: 6877.00 | Delivery:  61.0% | Budget Used: 3720.00/4000.0
Ep  117 | Phase: ANTAGON | Ticks: 789 | Protag R: -6964.00 | Antag R: 6593.00 | Delivery:  67.4% | Budget Used: 3720.00/4000.0
Ep  118 | Phase: ANTAGON | Ticks: 797 | Protag R: -11079.00 | Antag R: 10708.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  119 | Phase: ANTAGON | Ticks: 791 | Protag R: -12799.00 | Antag R: 12428.00 | Delivery:  45.5% | Budget Used: 3720.00/4000.0
Ep  120 | Phase: ANTAGON | Ticks: 792 | Protag R: -11112.00 | Antag R: 10741.00 | Delivery:  51.9% | Budget Used: 3720.00/4000.0
Ep  121 | Phase: ANTAGON | Ticks: 782 | Protag R: -13822.00 | Antag R: 13451.00 | Delivery:  49.1% | Budget Used: 3720.00/4000.0
Ep  122 | Phase: ANTAGON | Ticks: 788 | Protag R: -9075.00 | Antag R: 8704.00 | Delivery:  57.1% | Budget Used: 3720.00/4000.0
Ep  123 | Phase: ANTAGON | Ticks: 793 | Protag R: -12163.00 | Antag R: 11791.00 | Delivery:  45.5% | Budget Used: 3720.00/4000.0
