Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/hybrid_scripted_seed0
Starting SACRED training (mode=scripted_adversary) for 400 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep  102 | Phase: PROTAGO | Ticks: 799 | Protag R: -5807.00 | Antag R: 5657.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  103 | Phase: PROTAGO | Ticks: 799 | Protag R: -5539.00 | Antag R: 5389.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  104 | Phase: PROTAGO | Ticks: 799 | Protag R: -6006.00 | Antag R: 5856.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep  105 | Phase: PROTAGO | Ticks: 798 | Protag R: -5347.00 | Antag R: 5197.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  106 | Phase: PROTAGO | Ticks: 798 | Protag R: -5816.00 | Antag R: 5666.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  107 | Phase: PROTAGO | Ticks: 798 | Protag R: -5096.00 | Antag R: 4946.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  108 | Phase: PROTAGO | Ticks: 799 | Protag R: -6057.00 | Antag R: 5907.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  109 | Phase: PROTAGO | Ticks: 799 | Protag R: -5676.00 | Antag R: 5526.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  110 | Phase: PROTAGO | Ticks: 799 | Protag R: -5815.00 | Antag R: 5665.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  111 | Phase: PROTAGO | Ticks: 799 | Protag R: -5632.00 | Antag R: 5482.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  112 | Phase: PROTAGO | Ticks: 799 | Protag R: -5058.00 | Antag R: 4908.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  113 | Phase: PROTAGO | Ticks: 798 | Protag R: -5735.00 | Antag R: 5585.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  114 | Phase: PROTAGO | Ticks: 799 | Protag R: -5273.00 | Antag R: 5123.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  115 | Phase: PROTAGO | Ticks: 797 | Protag R: -5534.00 | Antag R: 5384.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  116 | Phase: PROTAGO | Ticks: 797 | Protag R: -6201.00 | Antag R: 6051.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep  117 | Phase: PROTAGO | Ticks: 799 | Protag R: -5634.00 | Antag R: 5484.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  118 | Phase: PROTAGO | Ticks: 799 | Protag R: -5395.00 | Antag R: 5245.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  119 | Phase: PROTAGO | Ticks: 799 | Protag R: -5914.00 | Antag R: 5764.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  120 | Phase: PROTAGO | Ticks: 797 | Protag R: -4867.00 | Antag R: 4717.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  121 | Phase: PROTAGO | Ticks: 799 | Protag R: -5235.00 | Antag R: 5085.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  122 | Phase: PROTAGO | Ticks: 799 | Protag R: -6013.00 | Antag R: 5863.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  123 | Phase: PROTAGO | Ticks: 799 | Protag R: -5713.00 | Antag R: 5563.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  124 | Phase: PROTAGO | Ticks: 799 | Protag R: -5842.00 | Antag R: 5692.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  125 | Phase: PROTAGO | Ticks: 799 | Protag R: -4891.00 | Antag R: 4741.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Saving checkpoints for both agents before phase switch...
Ep  126 | Phase: PROTAGO | Ticks: 799 | Protag R: -5248.00 | Antag R: 5098.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  127 | Phase: PROTAGO | Ticks: 796 | Protag R: -5528.00 | Antag R: 5378.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  128 | Phase: PROTAGO | Ticks: 799 | Protag R: -5420.00 | Antag R: 5270.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  129 | Phase: PROTAGO | Ticks: 799 | Protag R: -5141.00 | Antag R: 4991.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  130 | Phase: PROTAGO | Ticks: 799 | Protag R: -6147.00 | Antag R: 5997.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  131 | Phase: PROTAGO | Ticks: 799 | Protag R: -5433.00 | Antag R: 5283.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  132 | Phase: PROTAGO | Ticks: 797 | Protag R: -5918.00 | Antag R: 5768.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  133 | Phase: PROTAGO | Ticks: 798 | Protag R: -5933.00 | Antag R: 5783.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  134 | Phase: PROTAGO | Ticks: 799 | Protag R: -6265.00 | Antag R: 6115.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep  135 | Phase: PROTAGO | Ticks: 799 | Protag R: -5812.00 | Antag R: 5662.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  136 | Phase: PROTAGO | Ticks: 799 | Protag R: -5172.00 | Antag R: 5022.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  137 | Phase: PROTAGO | Ticks: 799 | Protag R: -5479.00 | Antag R: 5329.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  138 | Phase: PROTAGO | Ticks: 798 | Protag R: -5689.00 | Antag R: 5539.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  139 | Phase: PROTAGO | Ticks: 799 | Protag R: -5663.00 | Antag R: 5513.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
