Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Hybrid: forcing --preseed-buffer False.
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen05_hybrid_matrix/hybrid_scripted_seed0/snapshots/protagonist_ep350.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/br_scripted_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   88 | Phase: ANTAGON | Ticks: 799 | Protag R: -5764.00 | Antag R: 5614.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   89 | Phase: ANTAGON | Ticks: 799 | Protag R: -5536.00 | Antag R: 5386.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   90 | Phase: ANTAGON | Ticks: 798 | Protag R: -4884.00 | Antag R: 4734.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   91 | Phase: ANTAGON | Ticks: 799 | Protag R: -5515.00 | Antag R: 5365.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   92 | Phase: ANTAGON | Ticks: 798 | Protag R: -5628.00 | Antag R: 5478.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   93 | Phase: ANTAGON | Ticks: 796 | Protag R: -5908.00 | Antag R: 5758.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   94 | Phase: ANTAGON | Ticks: 799 | Protag R: -4986.00 | Antag R: 4836.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   95 | Phase: ANTAGON | Ticks: 798 | Protag R: -5427.00 | Antag R: 5277.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   96 | Phase: ANTAGON | Ticks: 798 | Protag R: -5268.00 | Antag R: 5118.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   97 | Phase: ANTAGON | Ticks: 799 | Protag R: -5491.00 | Antag R: 5341.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   98 | Phase: ANTAGON | Ticks: 799 | Protag R: -5223.00 | Antag R: 5073.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   99 | Phase: ANTAGON | Ticks: 799 | Protag R: -5551.00 | Antag R: 5401.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  100 | Phase: ANTAGON | Ticks: 799 | Protag R: -5609.00 | Antag R: 5459.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: ANTAGON | Ticks: 799 | Protag R: -5800.00 | Antag R: 5650.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  102 | Phase: ANTAGON | Ticks: 799 | Protag R: -5163.00 | Antag R: 5013.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  103 | Phase: ANTAGON | Ticks: 799 | Protag R: -5086.00 | Antag R: 4936.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  104 | Phase: ANTAGON | Ticks: 798 | Protag R: -5220.00 | Antag R: 5070.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  105 | Phase: ANTAGON | Ticks: 799 | Protag R: -5351.00 | Antag R: 5201.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  106 | Phase: ANTAGON | Ticks: 798 | Protag R: -5310.00 | Antag R: 5160.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  107 | Phase: ANTAGON | Ticks: 799 | Protag R: -5632.00 | Antag R: 5482.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  108 | Phase: ANTAGON | Ticks: 798 | Protag R: -5528.00 | Antag R: 5378.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  109 | Phase: ANTAGON | Ticks: 799 | Protag R: -5561.00 | Antag R: 5411.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  110 | Phase: ANTAGON | Ticks: 799 | Protag R: -5444.00 | Antag R: 5294.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  111 | Phase: ANTAGON | Ticks: 799 | Protag R: -5264.00 | Antag R: 5114.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  112 | Phase: ANTAGON | Ticks: 799 | Protag R: -5151.00 | Antag R: 5001.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  113 | Phase: ANTAGON | Ticks: 798 | Protag R: -5602.00 | Antag R: 5452.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  114 | Phase: ANTAGON | Ticks: 799 | Protag R: -5636.00 | Antag R: 5486.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  115 | Phase: ANTAGON | Ticks: 799 | Protag R: -4771.00 | Antag R: 4621.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  116 | Phase: ANTAGON | Ticks: 798 | Protag R: -5090.00 | Antag R: 4940.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  117 | Phase: ANTAGON | Ticks: 799 | Protag R: -4797.00 | Antag R: 4647.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
Ep  118 | Phase: ANTAGON | Ticks: 798 | Protag R: -5559.00 | Antag R: 5409.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  119 | Phase: ANTAGON | Ticks: 798 | Protag R: -5344.00 | Antag R: 5194.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  120 | Phase: ANTAGON | Ticks: 799 | Protag R: -4353.00 | Antag R: 4203.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
Ep  121 | Phase: ANTAGON | Ticks: 798 | Protag R: -4967.00 | Antag R: 4817.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  122 | Phase: ANTAGON | Ticks: 799 | Protag R: -4956.00 | Antag R: 4806.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  123 | Phase: ANTAGON | Ticks: 799 | Protag R: -4924.00 | Antag R: 4774.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  124 | Phase: ANTAGON | Ticks: 799 | Protag R: -5065.00 | Antag R: 4915.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  125 | Phase: ANTAGON | Ticks: 798 | Protag R: -5527.00 | Antag R: 5377.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
