Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Hybrid: forcing --preseed-buffer False.
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen05_hybrid_matrix/hybrid_vanilla_seed0/snapshots/protagonist_ep375.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/br_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   99 | Phase: ANTAGON | Ticks: 797 | Protag R: -4704.00 | Antag R: 4554.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
Ep  100 | Phase: ANTAGON | Ticks: 799 | Protag R: -5693.00 | Antag R: 5543.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: ANTAGON | Ticks: 798 | Protag R: -5321.00 | Antag R: 5171.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  102 | Phase: ANTAGON | Ticks: 799 | Protag R: -5913.00 | Antag R: 5763.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  103 | Phase: ANTAGON | Ticks: 799 | Protag R: -5528.00 | Antag R: 5378.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  104 | Phase: ANTAGON | Ticks: 799 | Protag R: -4972.00 | Antag R: 4822.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  105 | Phase: ANTAGON | Ticks: 799 | Protag R: -5428.00 | Antag R: 5278.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  106 | Phase: ANTAGON | Ticks: 797 | Protag R: -5340.00 | Antag R: 5190.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  107 | Phase: ANTAGON | Ticks: 799 | Protag R: -5751.00 | Antag R: 5601.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  108 | Phase: ANTAGON | Ticks: 798 | Protag R: -5077.00 | Antag R: 4927.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  109 | Phase: ANTAGON | Ticks: 797 | Protag R: -5527.00 | Antag R: 5377.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  110 | Phase: ANTAGON | Ticks: 799 | Protag R: -5395.00 | Antag R: 5245.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  111 | Phase: ANTAGON | Ticks: 798 | Protag R: -5560.00 | Antag R: 5410.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  112 | Phase: ANTAGON | Ticks: 799 | Protag R: -5143.00 | Antag R: 4993.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  113 | Phase: ANTAGON | Ticks: 799 | Protag R: -5264.00 | Antag R: 5114.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  114 | Phase: ANTAGON | Ticks: 799 | Protag R: -5481.00 | Antag R: 5331.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  115 | Phase: ANTAGON | Ticks: 799 | Protag R: -5705.00 | Antag R: 5555.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  116 | Phase: ANTAGON | Ticks: 799 | Protag R: -5094.00 | Antag R: 4944.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  117 | Phase: ANTAGON | Ticks: 798 | Protag R: -5651.00 | Antag R: 5501.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  118 | Phase: ANTAGON | Ticks: 799 | Protag R: -5467.00 | Antag R: 5317.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  119 | Phase: ANTAGON | Ticks: 798 | Protag R: -5794.00 | Antag R: 5644.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  120 | Phase: ANTAGON | Ticks: 797 | Protag R: -4967.00 | Antag R: 4817.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  121 | Phase: ANTAGON | Ticks: 799 | Protag R: -5319.00 | Antag R: 5169.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  122 | Phase: ANTAGON | Ticks: 799 | Protag R: -5605.00 | Antag R: 5455.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  123 | Phase: ANTAGON | Ticks: 798 | Protag R: -4897.00 | Antag R: 4747.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  124 | Phase: ANTAGON | Ticks: 799 | Protag R: -4722.00 | Antag R: 4572.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  125 | Phase: ANTAGON | Ticks: 799 | Protag R: -5017.00 | Antag R: 4867.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  126 | Phase: ANTAGON | Ticks: 799 | Protag R: -5423.00 | Antag R: 5273.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  127 | Phase: ANTAGON | Ticks: 799 | Protag R: -5605.00 | Antag R: 5455.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  128 | Phase: ANTAGON | Ticks: 799 | Protag R: -5307.00 | Antag R: 5157.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  129 | Phase: ANTAGON | Ticks: 799 | Protag R: -5140.00 | Antag R: 4990.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  130 | Phase: ANTAGON | Ticks: 798 | Protag R: -5570.00 | Antag R: 5420.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  131 | Phase: ANTAGON | Ticks: 798 | Protag R: -4470.00 | Antag R: 4320.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  132 | Phase: ANTAGON | Ticks: 798 | Protag R: -5075.00 | Antag R: 4925.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  133 | Phase: ANTAGON | Ticks: 798 | Protag R: -5511.00 | Antag R: 5361.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  134 | Phase: ANTAGON | Ticks: 799 | Protag R: -5118.00 | Antag R: 4968.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  135 | Phase: ANTAGON | Ticks: 799 | Protag R: -5376.00 | Antag R: 5226.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  136 | Phase: ANTAGON | Ticks: 799 | Protag R: -5153.00 | Antag R: 5003.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  137 | Phase: ANTAGON | Ticks: 799 | Protag R: -5839.00 | Antag R: 5689.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  138 | Phase: ANTAGON | Ticks: 799 | Protag R: -5508.00 | Antag R: 5358.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  139 | Phase: ANTAGON | Ticks: 798 | Protag R: -5457.00 | Antag R: 5307.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  140 | Phase: ANTAGON | Ticks: 799 | Protag R: -5913.00 | Antag R: 5763.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  141 | Phase: ANTAGON | Ticks: 799 | Protag R: -5292.00 | Antag R: 5142.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  142 | Phase: ANTAGON | Ticks: 798 | Protag R: -5688.00 | Antag R: 5538.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  143 | Phase: ANTAGON | Ticks: 796 | Protag R: -5195.00 | Antag R: 5045.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  144 | Phase: ANTAGON | Ticks: 799 | Protag R: -5100.00 | Antag R: 4950.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep  145 | Phase: ANTAGON | Ticks: 799 | Protag R: -5851.00 | Antag R: 5701.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep  146 | Phase: ANTAGON | Ticks: 799 | Protag R: -5581.00 | Antag R: 5431.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  147 | Phase: ANTAGON | Ticks: 799 | Protag R: -5457.00 | Antag R: 5307.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  148 | Phase: ANTAGON | Ticks: 799 | Protag R: -5524.00 | Antag R: 5374.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
