Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen02_dynassign/dynassign_seed1/snapshots/protagonist_ep250.pt (node_in_dim=11).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_sacred_s1_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   79 | Phase: ANTAGON | Ticks: 783 | Protag R: -9131.00 | Antag R: 8760.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   80 | Phase: ANTAGON | Ticks: 795 | Protag R: -9573.00 | Antag R: 9203.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   81 | Phase: ANTAGON | Ticks: 796 | Protag R: -17402.00 | Antag R: 17031.00 | Delivery:  40.3% | Budget Used: 3720.00/4000.0
Ep   82 | Phase: ANTAGON | Ticks: 799 | Protag R: -7988.00 | Antag R: 7617.00 | Delivery:  54.5% | Budget Used: 3720.00/4000.0
Ep   83 | Phase: ANTAGON | Ticks: 796 | Protag R: -14320.00 | Antag R: 13949.00 | Delivery:  46.0% | Budget Used: 3720.00/4000.0
Ep   84 | Phase: ANTAGON | Ticks: 783 | Protag R: -7908.00 | Antag R: 7537.00 | Delivery:  58.3% | Budget Used: 3720.00/4000.0
Ep   85 | Phase: ANTAGON | Ticks: 794 | Protag R: -8071.00 | Antag R: 7700.00 | Delivery:  56.1% | Budget Used: 3720.00/4000.0
Ep   86 | Phase: ANTAGON | Ticks: 798 | Protag R: -6499.00 | Antag R: 6127.00 | Delivery:  63.2% | Budget Used: 3720.00/4000.0
Ep   87 | Phase: ANTAGON | Ticks: 794 | Protag R: -10193.00 | Antag R: 9821.00 | Delivery:  60.4% | Budget Used: 3720.00/4000.0
Ep   88 | Phase: ANTAGON | Ticks: 781 | Protag R: -7126.00 | Antag R: 6755.00 | Delivery:  63.2% | Budget Used: 3720.00/4000.0
Ep   89 | Phase: ANTAGON | Ticks: 799 | Protag R: -12610.00 | Antag R: 12239.00 | Delivery:  44.8% | Budget Used: 3720.00/4000.0
Ep   90 | Phase: ANTAGON | Ticks: 776 | Protag R: -11804.00 | Antag R: 11433.00 | Delivery:  45.1% | Budget Used: 3720.00/4000.0
Ep   91 | Phase: ANTAGON | Ticks: 779 | Protag R: -6324.00 | Antag R: 5953.00 | Delivery:  65.9% | Budget Used: 3720.00/4000.0
Ep   92 | Phase: ANTAGON | Ticks: 795 | Protag R: -8229.00 | Antag R: 7858.00 | Delivery:  61.2% | Budget Used: 3720.00/4000.0
Ep   93 | Phase: ANTAGON | Ticks: 797 | Protag R: -3022.00 | Antag R: 2651.00 | Delivery:  76.5% | Budget Used: 3720.00/4000.0
