Seeded run: seed=2
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/vanilla_seed2
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep  135 | Phase: PROTAGO | Ticks: 797 | Protag R: -11349.00 | Antag R: 11350.00 | Delivery:  52.5% | Budget Used:  0.00/4000.0
Ep  136 | Phase: PROTAGO | Ticks: 787 | Protag R: -8165.00 | Antag R: 8165.00 | Delivery:  63.8% | Budget Used:  0.00/4000.0
Ep  137 | Phase: PROTAGO | Ticks: 785 | Protag R: -9987.00 | Antag R: 9989.00 | Delivery:  58.2% | Budget Used:  0.00/4000.0
Ep  138 | Phase: PROTAGO | Ticks: 799 | Protag R: -9478.00 | Antag R: 9479.00 | Delivery:  57.4% | Budget Used:  0.00/4000.0
Ep  139 | Phase: PROTAGO | Ticks: 791 | Protag R: -10115.00 | Antag R: 10116.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep  140 | Phase: PROTAGO | Ticks: 793 | Protag R: -15616.00 | Antag R: 15617.00 | Delivery:  50.8% | Budget Used:  0.00/4000.0
Ep  141 | Phase: PROTAGO | Ticks: 798 | Protag R: -3653.00 | Antag R: 3653.00 | Delivery:  74.4% | Budget Used:  0.00/4000.0
Ep  142 | Phase: PROTAGO | Ticks: 784 | Protag R: -9359.00 | Antag R: 9360.00 | Delivery:  55.6% | Budget Used:  0.00/4000.0
Ep  143 | Phase: PROTAGO | Ticks: 790 | Protag R: -9225.00 | Antag R: 9226.00 | Delivery:  53.4% | Budget Used:  0.00/4000.0
Ep  144 | Phase: PROTAGO | Ticks: 787 | Protag R: -6059.00 | Antag R: 6060.00 | Delivery:  63.8% | Budget Used:  0.00/4000.0
Ep  145 | Phase: PROTAGO | Ticks: 786 | Protag R: -6796.00 | Antag R: 6797.00 | Delivery:  66.7% | Budget Used:  0.00/4000.0
Ep  146 | Phase: PROTAGO | Ticks: 796 | Protag R: -10494.00 | Antag R: 10495.00 | Delivery:  66.0% | Budget Used:  0.00/4000.0
Ep  147 | Phase: PROTAGO | Ticks: 796 | Protag R: -1600.00 | Antag R: 1600.00 | Delivery:  80.0% | Budget Used:  0.00/4000.0
Ep  148 | Phase: PROTAGO | Ticks: 790 | Protag R: -2770.00 | Antag R: 2771.00 | Delivery:  70.3% | Budget Used:  0.00/4000.0
Ep  149 | Phase: PROTAGO | Ticks: 798 | Protag R: -10366.00 | Antag R: 10367.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep  150 | Phase: PROTAGO | Ticks: 797 | Protag R: -7299.00 | Antag R: 7299.00 | Delivery:  70.5% | Budget Used:  0.00/4000.0
  [EVAL ep 150] greedy_atk=5366 learned_atk=5942 gap=+576 +/-281 (neg = learned beats greedy under attack)
