Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen03_robustness_dynassign/vanilla_seed1/snapshots/protagonist_ep700.pt (node_in_dim=13).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_vanilla_s1_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   91 | Phase: ANTAGON | Ticks: 792 | Protag R: -7486.00 | Antag R: 7115.00 | Delivery:  56.8% | Budget Used: 3720.00/4000.0
Ep   92 | Phase: ANTAGON | Ticks: 799 | Protag R: -9963.00 | Antag R: 9592.00 | Delivery:  55.1% | Budget Used: 3720.00/4000.0
Ep   93 | Phase: ANTAGON | Ticks: 781 | Protag R: -3812.00 | Antag R: 3441.00 | Delivery:  76.5% | Budget Used: 3720.00/4000.0
Ep   94 | Phase: ANTAGON | Ticks: 799 | Protag R: -10220.00 | Antag R: 9849.00 | Delivery:  50.9% | Budget Used: 3720.00/4000.0
Ep   95 | Phase: ANTAGON | Ticks: 783 | Protag R: -8020.00 | Antag R: 7649.00 | Delivery:  60.9% | Budget Used: 3720.00/4000.0
Ep   96 | Phase: ANTAGON | Ticks: 789 | Protag R: -3305.00 | Antag R: 2934.00 | Delivery:  68.4% | Budget Used: 3720.00/4000.0
Ep   97 | Phase: ANTAGON | Ticks: 799 | Protag R: -6356.00 | Antag R: 5985.00 | Delivery:  59.1% | Budget Used: 3720.00/4000.0
Ep   98 | Phase: ANTAGON | Ticks: 794 | Protag R: -9533.00 | Antag R: 9174.00 | Delivery:  46.4% | Budget Used: 3600.00/4000.0
Ep   99 | Phase: ANTAGON | Ticks: 798 | Protag R: -9021.00 | Antag R: 8650.00 | Delivery:  54.2% | Budget Used: 3720.00/4000.0
Ep  100 | Phase: ANTAGON | Ticks: 792 | Protag R: -6945.00 | Antag R: 6573.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
