Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/dynassign_scripted_seed1
Scripted adversary: pathrand
Starting SACRED training (mode=scripted_adversary) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep   99 | Phase: PROTAGO | Ticks: 782 | Protag R: -17756.00 | Antag R: 17385.00 | Delivery:  25.0% | Budget Used: 3720.00/4000.0
Ep  100 | Phase: PROTAGO | Ticks: 797 | Protag R: -19417.00 | Antag R: 19046.00 | Delivery:  17.9% | Budget Used: 3720.00/4000.0
  [EVAL ep 100] greedy_atk=5366 learned_atk=5797 gap=+431 +/-218 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: PROTAGO | Ticks: 797 | Protag R: -14130.00 | Antag R: 13759.00 | Delivery:  26.7% | Budget Used: 3720.00/4000.0
Ep  102 | Phase: PROTAGO | Ticks: 790 | Protag R: -14370.00 | Antag R: 13998.00 | Delivery:  26.5% | Budget Used: 3720.00/4000.0
Ep  103 | Phase: PROTAGO | Ticks: 777 | Protag R: -11855.00 | Antag R: 11484.00 | Delivery:  27.5% | Budget Used: 3720.00/4000.0
Ep  104 | Phase: PROTAGO | Ticks: 778 | Protag R: -11871.00 | Antag R: 11500.00 | Delivery:  29.8% | Budget Used: 3720.00/4000.0
Ep  105 | Phase: PROTAGO | Ticks: 797 | Protag R: -17424.00 | Antag R: 17053.00 | Delivery:  21.4% | Budget Used: 3720.00/4000.0
Ep  106 | Phase: PROTAGO | Ticks: 794 | Protag R: -21062.00 | Antag R: 20692.00 | Delivery:  27.3% | Budget Used: 3720.00/4000.0
Ep  107 | Phase: PROTAGO | Ticks: 775 | Protag R: -15343.00 | Antag R: 14972.00 | Delivery:  18.3% | Budget Used: 3720.00/4000.0
Ep  108 | Phase: PROTAGO | Ticks: 775 | Protag R: -8726.00 | Antag R: 8356.00 | Delivery:  37.8% | Budget Used: 3720.00/4000.0
Ep  109 | Phase: PROTAGO | Ticks: 775 | Protag R: -13529.00 | Antag R: 13158.00 | Delivery:  33.3% | Budget Used: 3720.00/4000.0
Ep  110 | Phase: PROTAGO | Ticks: 792 | Protag R: -7584.00 | Antag R: 7213.00 | Delivery:  37.5% | Budget Used: 3720.00/4000.0
Ep  111 | Phase: PROTAGO | Ticks: 797 | Protag R: -12276.00 | Antag R: 11905.00 | Delivery:  34.0% | Budget Used: 3720.00/4000.0
Ep  112 | Phase: PROTAGO | Ticks: 797 | Protag R: -14072.00 | Antag R: 13701.00 | Delivery:  24.0% | Budget Used: 3720.00/4000.0
Ep  113 | Phase: PROTAGO | Ticks: 793 | Protag R: -10932.00 | Antag R: 10560.00 | Delivery:  36.2% | Budget Used: 3720.00/4000.0
Ep  114 | Phase: PROTAGO | Ticks: 796 | Protag R: -18562.00 | Antag R: 18191.00 | Delivery:  21.2% | Budget Used: 3720.00/4000.0
Ep  115 | Phase: PROTAGO | Ticks: 776 | Protag R: -12881.00 | Antag R: 12510.00 | Delivery:  25.0% | Budget Used: 3720.00/4000.0
Ep  116 | Phase: PROTAGO | Ticks: 799 | Protag R: -14227.00 | Antag R: 13856.00 | Delivery:  19.6% | Budget Used: 3720.00/4000.0
Ep  117 | Phase: PROTAGO | Ticks: 776 | Protag R: -15751.00 | Antag R: 15379.00 | Delivery:  24.0% | Budget Used: 3720.00/4000.0
Ep  118 | Phase: PROTAGO | Ticks: 777 | Protag R: -10205.00 | Antag R: 9834.00 | Delivery:  35.7% | Budget Used: 3720.00/4000.0
Ep  119 | Phase: PROTAGO | Ticks: 776 | Protag R: -15788.00 | Antag R: 15417.00 | Delivery:  28.3% | Budget Used: 3720.00/4000.0
Ep  120 | Phase: PROTAGO | Ticks: 798 | Protag R: -14376.00 | Antag R: 14005.00 | Delivery:  25.0% | Budget Used: 3720.00/4000.0
Ep  121 | Phase: PROTAGO | Ticks: 794 | Protag R: -14600.00 | Antag R: 14229.00 | Delivery:  23.1% | Budget Used: 3720.00/4000.0
Ep  122 | Phase: PROTAGO | Ticks: 779 | Protag R: -15448.00 | Antag R: 15077.00 | Delivery:  27.8% | Budget Used: 3720.00/4000.0
Ep  123 | Phase: PROTAGO | Ticks: 794 | Protag R: -12827.00 | Antag R: 12456.00 | Delivery:  28.0% | Budget Used: 3720.00/4000.0
Ep  124 | Phase: PROTAGO | Ticks: 798 | Protag R: -12025.00 | Antag R: 11653.00 | Delivery:  22.5% | Budget Used: 3720.00/4000.0
Ep  125 | Phase: PROTAGO | Ticks: 789 | Protag R: -10618.00 | Antag R: 10246.00 | Delivery:  33.3% | Budget Used: 3720.00/4000.0
Ep  126 | Phase: PROTAGO | Ticks: 795 | Protag R: -17052.00 | Antag R: 16681.00 | Delivery:  18.9% | Budget Used: 3720.00/4000.0
Ep  127 | Phase: PROTAGO | Ticks: 796 | Protag R: -13892.00 | Antag R: 13521.00 | Delivery:  24.4% | Budget Used: 3720.00/4000.0
Ep  128 | Phase: PROTAGO | Ticks: 797 | Protag R: -16309.00 | Antag R: 15938.00 | Delivery:  26.4% | Budget Used: 3720.00/4000.0
Ep  129 | Phase: PROTAGO | Ticks: 790 | Protag R: -11311.00 | Antag R: 10940.00 | Delivery:  32.5% | Budget Used: 3720.00/4000.0
Ep  130 | Phase: PROTAGO | Ticks: 797 | Protag R: -18750.00 | Antag R: 18379.00 | Delivery:  19.0% | Budget Used: 3720.00/4000.0
Ep  131 | Phase: PROTAGO | Ticks: 780 | Protag R: -16729.00 | Antag R: 16358.00 | Delivery:  33.3% | Budget Used: 3720.00/4000.0
Ep  132 | Phase: PROTAGO | Ticks: 798 | Protag R: -10028.00 | Antag R: 9656.00 | Delivery:  31.7% | Budget Used: 3720.00/4000.0
Ep  133 | Phase: PROTAGO | Ticks: 798 | Protag R: -17896.00 | Antag R: 17525.00 | Delivery:  18.3% | Budget Used: 3720.00/4000.0
Ep  134 | Phase: PROTAGO | Ticks: 797 | Protag R: -11916.00 | Antag R: 11545.00 | Delivery:  17.4% | Budget Used: 3720.00/4000.0
