Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen06_dynassign_matrix/dynassign_scripted_seed0/snapshots/protagonist_ep450.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/br_scripted_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   75 | Phase: ANTAGON | Ticks: 799 | Protag R: -11053.00 | Antag R: 10694.00 | Delivery:  48.2% | Budget Used: 3600.00/4000.0
Ep   76 | Phase: ANTAGON | Ticks: 793 | Protag R: -11946.00 | Antag R: 11587.00 | Delivery:  47.5% | Budget Used: 3600.00/4000.0
Ep   77 | Phase: ANTAGON | Ticks: 788 | Protag R: -7093.00 | Antag R: 6722.00 | Delivery:  73.2% | Budget Used: 3720.00/4000.0
Ep   78 | Phase: ANTAGON | Ticks: 792 | Protag R: -14142.00 | Antag R: 13772.00 | Delivery:  45.8% | Budget Used: 3720.00/4000.0
Ep   79 | Phase: ANTAGON | Ticks: 796 | Protag R: -7903.00 | Antag R: 7544.00 | Delivery:  56.5% | Budget Used: 3600.00/4000.0
Ep   80 | Phase: ANTAGON | Ticks: 797 | Protag R: -10066.00 | Antag R: 9732.00 | Delivery:  48.1% | Budget Used: 3360.00/4000.0
Ep   81 | Phase: ANTAGON | Ticks: 792 | Protag R: -16564.00 | Antag R: 16193.00 | Delivery:  46.8% | Budget Used: 3720.00/4000.0
Ep   82 | Phase: ANTAGON | Ticks: 783 | Protag R: -7447.00 | Antag R: 7076.00 | Delivery:  61.4% | Budget Used: 3720.00/4000.0
Ep   83 | Phase: ANTAGON | Ticks: 789 | Protag R: -13802.00 | Antag R: 13431.00 | Delivery:  44.4% | Budget Used: 3720.00/4000.0
Ep   84 | Phase: ANTAGON | Ticks: 788 | Protag R: -8631.00 | Antag R: 8272.00 | Delivery:  54.2% | Budget Used: 3600.00/4000.0
Ep   85 | Phase: ANTAGON | Ticks: 790 | Protag R: -6267.00 | Antag R: 5908.00 | Delivery:  61.0% | Budget Used: 3600.00/4000.0
Ep   86 | Phase: ANTAGON | Ticks: 782 | Protag R: -4739.00 | Antag R: 4379.00 | Delivery:  73.7% | Budget Used: 3600.00/4000.0
Ep   87 | Phase: ANTAGON | Ticks: 798 | Protag R: -12034.00 | Antag R: 11662.00 | Delivery:  54.2% | Budget Used: 3720.00/4000.0
Ep   88 | Phase: ANTAGON | Ticks: 797 | Protag R: -7867.00 | Antag R: 7496.00 | Delivery:  60.5% | Budget Used: 3720.00/4000.0
Ep   89 | Phase: ANTAGON | Ticks: 793 | Protag R: -13590.00 | Antag R: 13231.00 | Delivery:  43.1% | Budget Used: 3600.00/4000.0
Ep   90 | Phase: ANTAGON | Ticks: 794 | Protag R: -10331.00 | Antag R: 9984.00 | Delivery:  54.9% | Budget Used: 3480.00/4000.0
Ep   91 | Phase: ANTAGON | Ticks: 788 | Protag R: -9520.00 | Antag R: 9149.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   92 | Phase: ANTAGON | Ticks: 780 | Protag R: -12557.00 | Antag R: 12186.00 | Delivery:  34.7% | Budget Used: 3720.00/4000.0
Ep   93 | Phase: ANTAGON | Ticks: 780 | Protag R: -4346.00 | Antag R: 3975.00 | Delivery:  76.5% | Budget Used: 3720.00/4000.0
Ep   94 | Phase: ANTAGON | Ticks: 789 | Protag R: -8766.00 | Antag R: 8395.00 | Delivery:  50.9% | Budget Used: 3720.00/4000.0
Ep   95 | Phase: ANTAGON | Ticks: 794 | Protag R: -7338.00 | Antag R: 6979.00 | Delivery:  67.4% | Budget Used: 3600.00/4000.0
Ep   96 | Phase: ANTAGON | Ticks: 786 | Protag R: -3301.00 | Antag R: 3002.00 | Delivery:  65.8% | Budget Used: 3000.00/4000.0
Ep   97 | Phase: ANTAGON | Ticks: 798 | Protag R: -8851.00 | Antag R: 8480.00 | Delivery:  54.5% | Budget Used: 3720.00/4000.0
Ep   98 | Phase: ANTAGON | Ticks: 790 | Protag R: -8127.00 | Antag R: 7780.00 | Delivery:  50.0% | Budget Used: 3480.00/4000.0
Ep   99 | Phase: ANTAGON | Ticks: 797 | Protag R: -7500.00 | Antag R: 7129.00 | Delivery:  64.6% | Budget Used: 3720.00/4000.0
Ep  100 | Phase: ANTAGON | Ticks: 792 | Protag R: -6481.00 | Antag R: 6157.00 | Delivery:  50.0% | Budget Used: 3240.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: ANTAGON | Ticks: 780 | Protag R: -8741.00 | Antag R: 8370.00 | Delivery:  47.6% | Budget Used: 3720.00/4000.0
Ep  102 | Phase: ANTAGON | Ticks: 799 | Protag R: -9633.00 | Antag R: 9274.00 | Delivery:  42.1% | Budget Used: 3600.00/4000.0
Ep  103 | Phase: ANTAGON | Ticks: 796 | Protag R: -5863.00 | Antag R: 5491.00 | Delivery:  57.1% | Budget Used: 3720.00/4000.0
Ep  104 | Phase: ANTAGON | Ticks: 793 | Protag R: -11095.00 | Antag R: 10736.00 | Delivery:  58.3% | Budget Used: 3600.00/4000.0
Ep  105 | Phase: ANTAGON | Ticks: 786 | Protag R: -10491.00 | Antag R: 10132.00 | Delivery:  57.7% | Budget Used: 3600.00/4000.0
Ep  106 | Phase: ANTAGON | Ticks: 794 | Protag R: -8123.00 | Antag R: 7764.00 | Delivery:  60.4% | Budget Used: 3600.00/4000.0
Ep  107 | Phase: ANTAGON | Ticks: 786 | Protag R: -13590.00 | Antag R: 13231.00 | Delivery:  44.2% | Budget Used: 3600.00/4000.0
Ep  108 | Phase: ANTAGON | Ticks: 784 | Protag R: -9415.00 | Antag R: 9044.00 | Delivery:  54.3% | Budget Used: 3720.00/4000.0
Ep  109 | Phase: ANTAGON | Ticks: 794 | Protag R: -5810.00 | Antag R: 5439.00 | Delivery:  65.0% | Budget Used: 3720.00/4000.0
Ep  110 | Phase: ANTAGON | Ticks: 799 | Protag R: -11700.00 | Antag R: 11364.00 | Delivery:  40.4% | Budget Used: 3360.00/4000.0
Ep  111 | Phase: ANTAGON | Ticks: 796 | Protag R: -11096.00 | Antag R: 10737.00 | Delivery:  44.7% | Budget Used: 3600.00/4000.0
Ep  112 | Phase: ANTAGON | Ticks: 792 | Protag R: -8072.00 | Antag R: 7712.00 | Delivery:  55.6% | Budget Used: 3600.00/4000.0
Ep  113 | Phase: ANTAGON | Ticks: 783 | Protag R: -5225.00 | Antag R: 4866.00 | Delivery:  72.5% | Budget Used: 3600.00/4000.0
