Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/vanilla_seed1
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep  135 | Phase: PROTAGO | Ticks: 789 | Protag R: -5997.00 | Antag R: 5997.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep  136 | Phase: PROTAGO | Ticks: 797 | Protag R: -7593.00 | Antag R: 7594.00 | Delivery:  57.1% | Budget Used:  0.00/4000.0
Ep  137 | Phase: PROTAGO | Ticks: 796 | Protag R: -10693.00 | Antag R: 10693.00 | Delivery:  59.3% | Budget Used:  0.00/4000.0
Ep  138 | Phase: PROTAGO | Ticks: 783 | Protag R: -7891.00 | Antag R: 7892.00 | Delivery:  58.8% | Budget Used:  0.00/4000.0
Ep  139 | Phase: PROTAGO | Ticks: 798 | Protag R: -14081.00 | Antag R: 14082.00 | Delivery:  55.2% | Budget Used:  0.00/4000.0
Ep  140 | Phase: PROTAGO | Ticks: 793 | Protag R: -5783.00 | Antag R: 5783.00 | Delivery:  61.2% | Budget Used:  0.00/4000.0
Ep  141 | Phase: PROTAGO | Ticks: 799 | Protag R: -7896.00 | Antag R: 7898.00 | Delivery:  68.8% | Budget Used:  0.00/4000.0
Ep  142 | Phase: PROTAGO | Ticks: 791 | Protag R: -8734.00 | Antag R: 8735.00 | Delivery:  60.8% | Budget Used:  0.00/4000.0
Ep  143 | Phase: PROTAGO | Ticks: 780 | Protag R: -6975.00 | Antag R: 6976.00 | Delivery:  65.3% | Budget Used:  0.00/4000.0
Ep  144 | Phase: PROTAGO | Ticks: 793 | Protag R: -3204.00 | Antag R: 3205.00 | Delivery:  75.6% | Budget Used:  0.00/4000.0
