Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen06_dynassign_matrix/vanilla_seed0/snapshots/protagonist_ep750.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/br_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep  132 | Phase: ANTAGON | Ticks: 797 | Protag R: -5311.00 | Antag R: 4940.00 | Delivery:  59.5% | Budget Used: 3720.00/4000.0
Ep  133 | Phase: ANTAGON | Ticks: 784 | Protag R: -6163.00 | Antag R: 5792.00 | Delivery:  63.6% | Budget Used: 3720.00/4000.0
Ep  134 | Phase: ANTAGON | Ticks: 795 | Protag R: -9731.00 | Antag R: 9360.00 | Delivery:  44.0% | Budget Used: 3720.00/4000.0
Ep  135 | Phase: ANTAGON | Ticks: 788 | Protag R: -5237.00 | Antag R: 4865.00 | Delivery:  55.6% | Budget Used: 3720.00/4000.0
Ep  136 | Phase: ANTAGON | Ticks: 797 | Protag R: -11432.00 | Antag R: 11061.00 | Delivery:  43.6% | Budget Used: 3720.00/4000.0
Ep  137 | Phase: ANTAGON | Ticks: 775 | Protag R: -8657.00 | Antag R: 8286.00 | Delivery:  56.8% | Budget Used: 3720.00/4000.0
Ep  138 | Phase: ANTAGON | Ticks: 798 | Protag R: -6409.00 | Antag R: 6037.00 | Delivery:  64.3% | Budget Used: 3720.00/4000.0
Ep  139 | Phase: ANTAGON | Ticks: 777 | Protag R: -12435.00 | Antag R: 12065.00 | Delivery:  43.1% | Budget Used: 3720.00/4000.0
Ep  140 | Phase: ANTAGON | Ticks: 793 | Protag R: -7404.00 | Antag R: 7032.00 | Delivery:  44.2% | Budget Used: 3720.00/4000.0
Ep  141 | Phase: ANTAGON | Ticks: 789 | Protag R: -9037.00 | Antag R: 8666.00 | Delivery:  54.9% | Budget Used: 3720.00/4000.0
Ep  142 | Phase: ANTAGON | Ticks: 798 | Protag R: -11664.00 | Antag R: 11293.00 | Delivery:  47.1% | Budget Used: 3720.00/4000.0
Ep  143 | Phase: ANTAGON | Ticks: 775 | Protag R: -12626.00 | Antag R: 12255.00 | Delivery:  44.9% | Budget Used: 3720.00/4000.0
Ep  144 | Phase: ANTAGON | Ticks: 791 | Protag R: -7124.00 | Antag R: 6753.00 | Delivery:  61.9% | Budget Used: 3720.00/4000.0
Ep  145 | Phase: ANTAGON | Ticks: 778 | Protag R: -10703.00 | Antag R: 10332.00 | Delivery:  38.9% | Budget Used: 3720.00/4000.0
Ep  146 | Phase: ANTAGON | Ticks: 788 | Protag R: -5799.00 | Antag R: 5428.00 | Delivery:  63.0% | Budget Used: 3720.00/4000.0
Ep  147 | Phase: ANTAGON | Ticks: 795 | Protag R: -8275.00 | Antag R: 7904.00 | Delivery:  40.4% | Budget Used: 3720.00/4000.0
Ep  148 | Phase: ANTAGON | Ticks: 798 | Protag R: -8676.00 | Antag R: 8304.00 | Delivery:  63.6% | Budget Used: 3720.00/4000.0
Ep  149 | Phase: ANTAGON | Ticks: 790 | Protag R: -12284.00 | Antag R: 11912.00 | Delivery:  47.1% | Budget Used: 3720.00/4000.0
Ep  150 | Phase: ANTAGON | Ticks: 792 | Protag R: -2848.00 | Antag R: 2476.00 | Delivery:  68.6% | Budget Used: 3720.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep  151 | Phase: ANTAGON | Ticks: 798 | Protag R: -14085.00 | Antag R: 13714.00 | Delivery:  37.7% | Budget Used: 3720.00/4000.0
Ep  152 | Phase: ANTAGON | Ticks: 789 | Protag R: -9791.00 | Antag R: 9420.00 | Delivery:  53.1% | Budget Used: 3720.00/4000.0
Ep  153 | Phase: ANTAGON | Ticks: 785 | Protag R: -6261.00 | Antag R: 5890.00 | Delivery:  57.1% | Budget Used: 3720.00/4000.0
Ep  154 | Phase: ANTAGON | Ticks: 786 | Protag R: -9801.00 | Antag R: 9429.00 | Delivery:  49.1% | Budget Used: 3720.00/4000.0
Ep  155 | Phase: ANTAGON | Ticks: 796 | Protag R: -7444.00 | Antag R: 7072.00 | Delivery:  63.0% | Budget Used: 3720.00/4000.0
Ep  156 | Phase: ANTAGON | Ticks: 785 | Protag R: -8779.00 | Antag R: 8407.00 | Delivery:  43.1% | Budget Used: 3720.00/4000.0
Ep  157 | Phase: ANTAGON | Ticks: 792 | Protag R: -7065.00 | Antag R: 6694.00 | Delivery:  68.4% | Budget Used: 3720.00/4000.0
Ep  158 | Phase: ANTAGON | Ticks: 795 | Protag R: -10305.00 | Antag R: 9934.00 | Delivery:  49.1% | Budget Used: 3720.00/4000.0
Ep  159 | Phase: ANTAGON | Ticks: 784 | Protag R: -4709.00 | Antag R: 4338.00 | Delivery:  62.8% | Budget Used: 3720.00/4000.0
Ep  160 | Phase: ANTAGON | Ticks: 796 | Protag R: -8023.00 | Antag R: 7652.00 | Delivery:  52.2% | Budget Used: 3720.00/4000.0
Ep  161 | Phase: ANTAGON | Ticks: 785 | Protag R: -11868.00 | Antag R: 11498.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  162 | Phase: ANTAGON | Ticks: 791 | Protag R: -9318.00 | Antag R: 8947.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
